name,dark male,dark female,light male,light female,var,precision,recall,accuracy
results_models3/train18_model0.pt,90.252,97.048,98.187,96.610,12.797,82.585,95.591,87.717
results_models3/train17_model2.pt,89.308,96.679,96.632,96.949,13.877,81.419,94.882,86.614
results_models3/train18_model1.pt,87.107,94.834,96.114,98.305,23.727,83.683,94.094,87.874
results_models3/train17_model3.pt,88.679,95.572,97.409,98.983,20.615,85.563,95.197,89.567
results_models3/train18_model2.pt,89.623,95.203,93.005,94.915,6.596,83.889,93.071,87.598
results_models3/train17_model4.pt,86.478,94.834,93.782,96.610,19.841,84.395,92.835,87.835
results_models3/train18_model3.pt,87.736,95.203,96.632,98.305,21.756,83.276,94.488,87.756
results_models3/train18_model4.pt,82.390,94.096,94.301,94.915,36.406,83.226,91.417,86.496
results_models3/train19_model0.pt,85.535,95.941,96.114,98.305,32.810,82.790,93.937,87.205
results_models3/train19_model1.pt,34.591,48.708,57.254,58.983,124.120,91.787,50.157,72.835
results_models3/train19_model2.pt,89.308,96.310,96.373,96.610,12.701,84.292,94.646,88.504
results_models3/train19_model3.pt,88.679,95.941,96.891,98.983,20.072,85.251,95.118,89.331
results_models3/train19_model4.pt,88.050,95.203,96.632,97.966,19.549,83.740,94.488,88.071
results_models3/train20_model0.pt,87.107,94.096,95.078,97.627,20.249,84.907,93.465,88.425
results_models3/train20_model1.pt,88.994,97.048,98.446,98.305,20.372,80.264,95.748,86.102
results_models3/train20_model2.pt,88.994,97.048,96.373,97.627,16.352,81.985,94.961,87.047
results_models3/train20_model3.pt,87.107,94.096,98.705,97.627,27.408,81.701,94.567,86.693
results_models3/train20_model4.pt,88.050,95.572,97.150,98.644,22.148,83.161,94.882,87.835
